year,election_date,county,num_precincts,registered_voters,ballots_cast,turnout_pct,early_voting,election_day,provisional
2014,2014-11-04,Apache,46,92362,42648,46.2,,,
2014,2014-11-04,Coconino,72,141438,75468,53.4,,,
2014,2014-11-04,Gila,40,58944,32321,54.8,,,
2014,2014-11-04,Greenlee,9,8764,3992,45.5,,,
2014,2014-11-04,La Paz,12,18150,7150,39.4,,,
2014,2014-11-04,Mohave,74,235194,95512,40.6,,,
2014,2014-11-04,Navajo,62,113450,55886,49.3,,,
2014,2014-11-04,Pima,249,994556,548866,55.2,,,
2014,2014-11-04,Santa Cruz,25,45318,19348,42.7,,,
2014,2014-11-04,Yuma,45,153823,54608,35.5,,,
2016,2016-11-08,Apache,44,48240,28492,59.1,1256,14297,128
2016,2016-11-08,Cochise,49,75157,50601,67.3,14880,34070,1633
2016,2016-11-08,Gila,39,29566,22953,77.6,5147,16980,826
2016,2016-11-08,Graham,22,17806,12535,70.4,7779,4587,169
2016,2016-11-08,Greenlee,8,4702,3376,71.8,2310,918,148
2016,2016-11-08,Mohave,24,115339,81114,70.3,51119,26305,3690
2016,2016-11-08,Navajo,14,6389,4122,64.5,1954,1821,33
2016,2016-11-08,Pima,248,544270,427102,78.5,84833,324025,18244
2016,2016-11-08,Pinal,102,18901,13119,69.4,4527,3367,697
2016,2016-11-08,Santa Cruz,24,2618,1664,63.6,1045,475,124
2018,2018-11-06,Apache,44,49800,25559,51.3,11922,13445,7
2018,2018-11-06,Cochise,49,70854,45927,64.8,34144,10285,1498
2018,2018-11-06,Coconino,71,,,,,,
2018,2018-11-06,Gila,39,29875,20825,69.7,16569,3635,621
2018,2018-11-06,Graham,22,17906,10786,60.2,7204,3469,113
2018,2018-11-06,Greenlee,8,4535,2599,57.3,1903,609,87
2018,2018-11-06,La Paz,11,10048,5164,51.4,2882,1729,553
2018,2018-11-06,Mohave,24,116346,72545,62.4,50131,21375,1039
2018,2018-11-06,Navajo,14,63034,37176,59.0,18602,15154,354
2018,2018-11-06,Pima,249,557532,393352,70.6,312400,64731,16221
2018,2018-11-06,Pinal,102,202079,118345,58.6,86910,25376,6059
2018,2018-11-06,Santa Cruz,24,28238,13668,48.4,9434,3309,925
2018,2018-11-06,Yavapai,45,140724,,,,,
2018,2018-11-06,Yuma,44,87457,44362,50.7,28467,8975,693
2020,2020-11-03,Apache,44,,35776,,24440,10901,435
2020,2020-11-03,Cochise,49,82018,60963,74.3,48865,9435,2663
2020,2020-11-03,Coconino,71,90669,73968,81.6,,,
2020,2020-11-03,Gila,39,34068,28057,82.4,,,
2020,2020-11-03,La Paz,11,10909,7522,69.0,4533,2189,800
2020,2020-11-03,Maricopa,743,2595272,2089563,80.5,1915487,167878,6198
2020,2020-11-03,Mohave,24,135231,105440,78.0,,,
2020,2020-11-03,Navajo,14,70650,52490,74.3,31490,15591,248
2020,2020-11-03,Pima,249,638355,526319,82.4,459777,50323,16219
2020,2020-11-03,Santa Cruz,24,29951,19807,66.1,,,
2020,2020-11-03,Yavapai,45,165361,144911,87.6,126545,18017,349
2022,2022-11-08,Apache,44,51938,27010,52.0,15704,11053,253
2022,2022-11-08,Cochise,55,77394,94543,122.2,70328,23982,233
2022,2022-11-08,Coconino,75,90829,55475,61.1,,,
2022,2022-11-08,Gila,39,33949,22802,67.2,,,
2022,2022-11-08,Graham,22,19487,11006,56.5,6140,3572,98
2022,2022-11-08,Greenlee,8,4669,2487,53.3,,,
2022,2022-11-08,Mohave,24,146923,82758,56.3,,,
2022,2022-11-08,Navajo,14,69040,40974,59.3,,,
2022,2022-11-08,Pima,275,705072,403556,57.2,,,
2022,2022-11-08,Pinal,111,282572,145600,51.5,109341,35627,632
2022,2022-11-08,Santa Cruz,24,29168,13311,45.6,7544,3172,56
2022,2022-11-08,Yavapai,48,166052,124863,75.2,103409,21202,252
2022,2022-11-08,Yuma,46,105133,46830,44.5,35009,8659,484
2024,2024-11-05,Apache,44,54060,32685,60.5,,,
2024,2024-11-05,Cochise,55,81880,59500,72.7,45265,16219,308
2024,2024-11-05,Coconino,75,90681,70993,78.3,54646,15817,530
2024,2024-11-05,Gila,39,34653,27979,80.7,,,
2024,2024-11-05,Graham,23,20714,15327,74.0,10292,4946,89
2024,2024-11-05,Greenlee,6,4720,3341,70.8,,,
2024,2024-11-05,Maricopa,935,2587197,2078460,80.3,1822403,252560,3497
2024,2024-11-05,Mohave,24,148049,111355,75.2,,,
2024,2024-11-05,Pima,265,662357,518466,78.3,442281,72633,3552
2024,2024-11-05,Pinal,109,282639,,,,,
2024,2024-11-05,Yavapai,57,175210,150864,86.1,131653,18886,325
2024,2024-11-05,Yuma,47,111666,68910,61.7,57789,10459,662
